Building Type,Building Location,Base TechID,Measure TechID,min hourly (base-meas) kW,base>=measure all hours
DMo,CZ15,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ16,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ01,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ02,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ03,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ04,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ05,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ06,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ07,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ08,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ09,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ10,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ11,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ12,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ13,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ14,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ15,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ16,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ01,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ02,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ03,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ04,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ05,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ06,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ07,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ08,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ09,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ10,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ11,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ12,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ13,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ14,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ15,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ16,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ01,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ02,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ03,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ04,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ05,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ06,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ07,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ08,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ09,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ10,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ11,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ12,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ13,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ14,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ15,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ16,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,0.0,Y
DMo,CZ01,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ02,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ03,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ04,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ05,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ06,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ07,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ08,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ09,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ10,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ11,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ12,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ13,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ14,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ15,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ16,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ01,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ02,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ03,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ04,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ05,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ06,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ07,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ08,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ09,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ10,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ11,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ12,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ13,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ14,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ15,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ16,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ01,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ02,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ03,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ04,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ05,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ06,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ07,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ08,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ09,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ10,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ11,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ12,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ13,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ14,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ15,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ16,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ01,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ02,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ03,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ04,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ05,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ06,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ07,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
DMo,CZ08,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,0.0,Y
