Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M1,cDXGF,Base,CZ01
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M2,cDXHP,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M2,cDXHP,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M2,cPTAC,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M2,cPTAC,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M2,cPVVG,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-VAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M2,cPVVG,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-VAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M3,cDXGF,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M3,cDXGF,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M3,cDXHP,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M3,cDXHP,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M3,cPTAC,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M3,cPTAC,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M3,cPVVG,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-VAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M3,cPVVG,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-VAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M4,cDXGF,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M4,cDXGF,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M4,cDXHP,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M4,cDXHP,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M4,cPTAC,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M4,cPTAC,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M4,cPVVG,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-VAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M4,cPVVG,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-VAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M5,cDXGF,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M5,cDXGF,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M5,cDXHP,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M5,cDXHP,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M5,cPTAC,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M5,cPTAC,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-CAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-CAV OA CONTROLLER,    0.878756,    0.140944
