TechID,System Type,Building Type,Building Location,UEC_ThermMeas__heat,UEC_ThermMeas__cool,UEC_ThermMeas__ventFan
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ09,425.957,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ10,212.3122,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ11,391.5909,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ12,416.0962,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ13,425.5864,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ09,425.957,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ10,212.3122,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ11,391.5909,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ12,416.0962,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ13,425.5864,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ09,425.957,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ10,212.3122,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ11,391.5909,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ12,416.0962,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ13,425.5864,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ09,425.957,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ10,212.3122,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ11,391.5909,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ12,416.0962,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ13,425.5864,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ09,425.957,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ10,212.3122,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ11,391.5909,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ12,416.0962,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ13,425.5864,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ09,425.957,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ10,212.3122,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ11,391.5909,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ12,416.0962,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ13,425.5864,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ09,425.957,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ10,212.3122,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ11,391.5909,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ12,416.0962,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ13,425.5864,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ09,425.957,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ10,212.3122,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ11,391.5909,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ12,416.0962,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ13,425.5864,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ09,425.957,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ10,212.3122,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ11,391.5909,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ12,416.0962,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ13,425.5864,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ14,506.1388,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ15,121.0558,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ16,280.7143,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ01,355.3485,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ02,703.9137,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ03,544.4184,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ04,698.2843,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ05,561.9493,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ06,317.509,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ07,276.3973,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ08,288.3285,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,SFm,CZ09,425.957,0.0,0.0
